# y=sqrt(m0/m) temperature[K] pressure[bar] T_cv[meV/molecule] T_cv_error[meV/molecule]
0.25 2875 50 1118.83 0.00529492
1 2875 600 1189.59 0.0393825
0.707107 2875 600 1153.23 nan
0.5 2875 600 1134.29 0.02943
0.25 2875 600 1119.78 0.0073126
1 2875 75 1171.97 0.0605228
0.707107 2875 75 1144.32 0.0234925
0.5 2875 75 1129.88 0.00555874
0.25 2875 75 1118.68 0.00617193
1 2875 85 1171.72 0.0371168
0.707107 2875 85 1144.26 0.0383048
0.5 2875 85 1129.86 nan
0.25 2875 85 1118.65 0.00532857
1 3000 100 1217.43 0.0404603
0.707107 3000 100 1191.3 0.0117374
0.5 3000 100 1177.52 nan
0.25 3000 100 1166.96 0.00484507
1 3000 125 1217.54 0.007387
0.707107 3000 125 1191.26 0.022502
0.5 3000 125 1177.5 0.0155807
0.25 3000 125 1166.92 0.00415244
1 3000 150 1218 0.0367223
0.707107 3000 150 1191.5 0.0410298
0.5 3000 150 1177.63 0.0022993
0.25 3000 150 1166.97 0.00422159
1 3000 175 1218.68 0.0447673
0.707107 3000 175 1191.77 0.0215721
0.5 3000 175 1177.78 0.0170362
0.25 3000 175 1167 0.00271635
1 3000 200 1219.34 0.0130762
0.707107 3000 200 1192.03 0.0592532
0.5 3000 200 1178.06 nan
0.25 3000 200 1167.04 nan
1 3000 225 1219.93 0.041572
0.707107 3000 225 1192.45 0.0136275
0.5 3000 225 1178.08 0.0155879
0.25 3000 225 1167.06 0.0032721
1 3000 250 1220.73 0.00568268
0.707107 3000 250 1192.75 nan
0.5 3000 250 1178.3 0.015935
0.25 3000 250 1167.13 0.00286839
1 3000 300 1222.34 0.0331253
0.707107 3000 300 1193.56 nan
0.5 3000 300 1178.64 0.0102307
