# y=sqrt(m0/m) temperature[K] pressure[bar] T_cv[meV/molecule] T_cv_error[meV/molecule]
1 2500 400 1045.31 nan
0.707107 2500 400 1008.58 0.0508195
0.5 2500 400 989.345 0.0269992
0.25 2500 400 974.491 0.0078264
1 2500 450 1048.4 0.0599049
0.707107 2500 450 1010.15 0.0252908
0.5 2500 450 990.109 0.0122484
0.25 2500 450 974.688 0.00452246
1 2500 500 1051.31 nan
0.707107 2500 500 1011.7 0.0232376
0.5 2500 500 990.92 0.0225561
0.25 2500 500 974.893 0.00815432
1 2500 50 1038.23 0.0731895
0.707107 2500 50 1005.42 0.0350544
0.5 2500 50 987.836 0.0259832
0.25 2500 50 974.132 0.00656995
1 2500 550 1054.11 0.0518716
0.707107 2500 550 1013.14 0.0387079
0.5 2500 550 991.648 0.0189808
0.25 2500 550 975.091 0.00772782
1 2500 600 1057.01 0.0574978
0.707107 2500 600 1014.6 0.0327177
0.5 2500 600 992.485 0.0321231
0.25 2500 600 975.265 0.0136714
1 2500 60 1037.19 0.0808065
0.707107 2500 60 1004.81 0.0336326
0.5 2500 60 987.553 0.0239172
1 2500 700 1062.68 0.0422176
0.707107 2500 700 1017.61 0.0515646
0.5 2500 700 993.987 0.0252035
0.25 2500 700 975.647 0.0112362
1 2500 75 1035.54 0.0369525
0.707107 2500 75 1003.94 0.0323459
0.5 2500 75 987.061 0.0198498
0.25 2500 75 973.942 0.0078301
1 2625 100 1079.73 0.0518968
0.707107 2625 100 1049.99 0.0316989
0.5 2625 100 1034.25 0.0115964
0.25 2625 100 1022.08 0.00772262
1 2625 250 1082.67 0.0497004
0.707107 2625 250 1051.28 0.0305488
0.5 2625 250 1034.91 0.0154379
0.25 2625 250 1022.21 0.0053993
1 2625 400 1090.35 0.0640653
0.707107 2625 400 1055.17 nan
0.5 2625 400 1036.87 0.0245952
0.25 2625 400 1022.72 0.00848365
1 2625 50 1083.37 0.0652273
0.707107 2625 50 1051.99 0.0346981
0.5 2625 50 1035.3 0.0278471
0.25 2625 50 1022.35 0.00532289
1 2625 600 1101.55 0.0631672
0.707107 2625 600 1060.9 0.0314679
0.5 2625 600 1039.76 0.0208435
0.25 2625 600 1023.45 0.00851581
1 2625 75 1081.02 0.0345765
0.707107 2625 75 1050.71 0.0271648
0.5 2625 75 1034.66 0.0198554
0.25 2625 75 1022.18 0.00619309
1 2750 100 1125.23 0.0406022
0.707107 2750 100 1096.89 0.0298184
0.5 2750 100 1081.95 0.0126929
0.25 2750 100 1070.35 0.00739671
1 2750 125 1125.07 0.0608508
0.707107 2750 125 1096.78 0.0267512
0.5 2750 125 1081.87 0.0164034
0.25 2750 125 1070.33 0.00784535
1 2750 150 1125.26 0.0430662
0.707107 2750 150 1096.79 0.0152974
0.5 2750 150 1081.87 0.0136231
0.25 2750 150 1070.31 0.00520373
1 2750 200 1126.4 0.0285432
0.707107 2750 200 1097.33 0.0260781
0.5 2750 200 1082.18 0.011699
0.25 2750 200 1070.38 0.00204178
1 2750 250 1128.17 0.048685
0.707107 2750 250 1098.17 0.00719655
0.5 2750 250 1082.53 0.00989483
0.25 2750 250 1070.47 0.006249
1 2750 300 1130.3 0.0304026
0.707107 2750 300 1099.28 0.0225346
0.5 2750 300 1083.06 0.0108329
0.25 2750 300 1070.61 0.00574916
1 2750 400 1135.45 0.0483373
0.707107 2750 400 1102.21 nan
0.5 2750 400 1084.42 0.00654568
0.25 2750 400 1070.95 0.00711773
1 2750 50 1128.68 0.0645446
0.707107 2750 50 1098.79 0.0364646
0.5 2750 50 1082.91 0.017957
0.25 2750 50 1070.59 0.0110924
1 2750 600 1146.13 0.0825218
0.707107 2750 600 1107.41 0.0318501
0.5 2750 600 1087.21 0.0190504
0.25 2750 600 1071.65 0.0056275
1 2750 75 1126.32 0.0643454
0.707107 2750 75 1097.5 0.0291634
0.5 2750 75 1082.26 0.0199582
0.25 2750 75 1070.43 0.00608087
1 2875 100 1171.19 0.0288816
0.707107 2875 100 1143.96 0.0247174
0.5 2875 100 1129.69 0.0161968
0.25 2875 100 1118.63 0.00406898
1 2875 250 1174 0.0449839
0.707107 2875 250 1145.29 0.0272396
0.5 2875 250 1130.28 0.0142288
0.25 2875 250 1118.75 0.00404841
1 2875 400 1181.1 0.0655314
0.707107 2875 400 1148.8 0.0241118
0.5 2875 400 1132.06 0.0202929
0.25 2875 400 1119.22 0.00546569
1 2875 50 1174.28 0.0631954
0.707107 2875 50 1145.65 0.0370316
0.5 2875 50 1130.54 0.0235814
0.25 2875 50 1118.84 0.00804877
1 2875 600 1191.45 0.0406406
0.707107 2875 600 1154.04 0.034251
0.5 2875 600 1134.72 0.0135156
0.25 2875 600 1119.86 0.00748303
1 2875 75 1171.95 0.0507224
0.707107 2875 75 1144.49 0.021934
0.5 2875 75 1129.9 0.014923
0.25 2875 75 1118.67 0.00684751
1 2875 85 1171.7 0.0421227
0.707107 2875 85 1144.23 0.0334738
0.5 2875 85 1129.82 0.0115558
